
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.000u      0.000s      5.990w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.750w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.171w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.112w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.056w     80 calls
HF: Guess                           :      0.000u      0.000s     12.526w     80 calls
SAD Guess                           :      0.000u      0.000s     12.131w     80 calls
HF: Form G                          :      0.000u      0.000s      0.528w    703 calls
JK: D                               :      0.000u      0.000s      0.019w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.039w    703 calls
JK: JK                              :      0.000u      0.000s      0.392w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.368w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.104w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.225w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.096w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s     12.214w    623 calls
HF: Form C                          :      0.000u      0.000s      1.175w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.445w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.001w     80 calls
DFH: initialize()                   :      0.000u      0.000s      5.990w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.612w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.750w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.171w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.112w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.056w     80 calls
HF: Guess                           :      0.000u      0.000s     12.526w     80 calls
| SAD Guess                         :      0.000u      0.000s     12.131w     80 calls
HF: Form G                          :      0.000u      0.000s      0.528w    703 calls
| JK: D                             :      0.000u      0.000s      0.019w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.039w    703 calls
| JK: JK                            :      0.000u      0.000s      0.392w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.368w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.104w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.225w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.096w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s     12.214w    623 calls
HF: Form C                          :      0.000u      0.000s      1.175w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:13 2023
Timers Off: Sun Nov 12 11:07:20 2023

Wall Time:      126.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:13 2023
Timers Off: Sun Nov 12 11:07:20 2023

Wall Time:      127.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:20 2023

Wall Time:      124.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.044w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.600w    240 calls
DFH: initialize()                   :      0.000u      0.000s      5.882w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.756w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.120w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.208w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.288w     80 calls
HF: Guess                           :      0.000u      0.000s     13.181w     80 calls
SAD Guess                           :      0.000u      0.000s     12.979w     80 calls
HF: Form G                          :      0.000u      0.000s      0.604w    703 calls
JK: D                               :      0.000u      0.000s      0.109w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.078w    703 calls
JK: JK                              :      0.000u      0.000s      0.351w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.344w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.089w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.217w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.031w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.014w    703 calls
HF: DIIS                            :      0.000u      0.000s     10.848w    623 calls
HF: Form C                          :      0.000u      0.000s      1.119w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.044w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.742w     80 calls
DFH: initialize()                   :      0.000u      0.000s      5.882w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.858w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.756w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.120w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.208w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.288w     80 calls
HF: Guess                           :      0.000u      0.000s     13.181w     80 calls
| SAD Guess                         :      0.000u      0.000s     12.979w     80 calls
HF: Form G                          :      0.000u      0.000s      0.604w    703 calls
| JK: D                             :      0.000u      0.000s      0.109w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.078w    703 calls
| JK: JK                            :      0.000u      0.000s      0.351w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.344w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.089w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.217w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.031w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.014w    703 calls
HF: DIIS                            :      0.000u      0.000s     10.848w    623 calls
HF: Form C                          :      0.000u      0.000s      1.119w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:21 2023

Wall Time:      124.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.058w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.258w    240 calls
DFH: initialize()                   :      0.000u      0.000s      5.851w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.625w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.123w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.014w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.056w     80 calls
HF: Guess                           :      0.000u      0.000s     12.425w     80 calls
SAD Guess                           :      0.000u      0.000s     12.098w     80 calls
HF: Form G                          :      0.000u      0.000s      0.507w    703 calls
JK: D                               :      0.000u      0.000s      0.038w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.046w    703 calls
JK: JK                              :      0.000u      0.000s      0.360w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.346w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.089w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.223w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.022w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.610w    623 calls
HF: Form C                          :      0.000u      0.000s      0.984w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.058w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.721w     80 calls
DFH: initialize()                   :      0.000u      0.000s      5.851w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.537w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.625w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.123w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.014w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.056w     80 calls
HF: Guess                           :      0.000u      0.000s     12.425w     80 calls
| SAD Guess                         :      0.000u      0.000s     12.098w     80 calls
HF: Form G                          :      0.000u      0.000s      0.507w    703 calls
| JK: D                             :      0.000u      0.000s      0.038w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.046w    703 calls
| JK: JK                            :      0.000u      0.000s      0.360w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.346w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.089w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.223w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.022w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.610w    623 calls
HF: Form C                          :      0.000u      0.000s      0.984w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:13 2023
Timers Off: Sun Nov 12 11:07:21 2023

Wall Time:      128.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:13 2023
Timers Off: Sun Nov 12 11:07:22 2023

Wall Time:      128.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:50 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       88.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.917w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.122w    240 calls
DFH: initialize()                   :      0.000u      0.000s      4.274w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.540w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.118w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.606w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.038w     80 calls
HF: Guess                           :      0.000u      0.000s      8.281w     80 calls
SAD Guess                           :      0.000u      0.000s      8.082w     80 calls
HF: Form G                          :      0.000u      0.000s      0.420w    703 calls
JK: D                               :      0.000u      0.000s      0.016w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.043w    703 calls
JK: JK                              :      0.000u      0.000s      0.300w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.294w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.083w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.176w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.028w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.447w    623 calls
HF: Form C                          :      0.000u      0.000s      0.893w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.917w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.627w     80 calls
DFH: initialize()                   :      0.000u      0.000s      4.274w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.495w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.540w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.118w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.606w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.038w     80 calls
HF: Guess                           :      0.000u      0.000s      8.281w     80 calls
| SAD Guess                         :      0.000u      0.000s      8.082w     80 calls
HF: Form G                          :      0.000u      0.000s      0.420w    703 calls
| JK: D                             :      0.000u      0.000s      0.016w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.043w    703 calls
| JK: JK                            :      0.000u      0.000s      0.300w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.294w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.083w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.176w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.028w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls

: DIIS                            :      0.000u      0.000s      8.447w    623 calls
HF: Form C                          :      0.000u      0.000s      0.893w    623 calls
Host: AS-Laptop
***********************************************************************

Timers On : Sun Nov 12 11:10:50 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       88.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.924w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.096w    240 calls
DFH: initialize()                   :      0.000u      0.000s      4.203w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.537w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.105w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.498w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.040w     80 calls
HF: Guess                           :      0.000u      0.000s      8.244w     80 calls
SAD Guess                           :      0.000u      0.000s      8.061w     80 calls
HF: Form G                          :      0.000u      0.000s      0.413w    703 calls
JK: D                               :      0.000u      0.000s      0.016w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.043w    703 calls
JK: JK                              :      0.000u      0.000s      0.292w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.285w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.083w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.168w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.028w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.529w    623 calls
HF: Form C                          :      0.000u      0.000s      0.921w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.924w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.631w     80 calls
DFH: initialize()                   :      0.000u      0.000s      4.203w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.465w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.537w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.105w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.498w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.040w     80 calls
HF: Guess                           :      0.000u      0.000s      8.244w     80 calls
| SAD Guess                         :      0.000u      0.000s      8.061w     80 calls
HF: Form G                          :      0.000u      0.000s      0.413w    703 calls
| JK: D                             :      0.000u      0.000s      0.016w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.043w    703 calls
| JK: JK                            :      0.000u      0.000s      0.292w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.285w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.083w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.168w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.028w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.529w    623 calls
HF: Form C                          :      0.000u      0.000s      0.921w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:50 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       88.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.902w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.076w    240 calls
DFH: initialize()                   :      0.000u      0.000s      4.314w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.538w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.112w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.550w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.038w     80 calls
HF: Guess                           :      0.000u      0.000s      8.236w     80 calls
SAD Guess                           :      0.000u      0.000s      8.037w     80 calls
HF: Form G                          :      0.000u      0.000s      0.412w    703 calls
JK: D                               :      0.000u      0.000s      0.016w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.039w    703 calls
JK: JK                              :      0.000u      0.000s      0.294w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.287w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.082w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.169w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.346w    623 calls
HF: Form C                          :      0.000u      0.000s      0.908w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.902w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.616w     80 calls
DFH: initialize()                   :      0.000u      0.000s      4.314w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.461w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.538w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.112w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.550w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.038w     80 calls
HF: Guess                           :      0.000u      0.000s      8.236w     80 calls
| SAD Guess                         :      0.000u      0.000s      8.037w     80 calls
HF: Form G                          :      0.000u      0.000s      0.412w    703 calls
| JK: D                             :      0.000u      0.000s      0.016w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.039w    703 calls
| JK: JK                            :      0.000u      0.000s      0.294w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.287w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.082w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.169w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.346w    623 calls
HF: Form C                          :      0.000u      0.000s      0.908w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:50 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       88.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.925w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.104w    240 calls
DFH: initialize()                   :      0.000u      0.000s      4.328w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.550w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.114w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.542w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.039w     80 calls
HF: Guess                           :      0.000u      0.000s      8.305w     80 calls
SAD Guess                           :      0.000u      0.000s      8.105w     80 calls
HF: Form G                          :      0.000u      0.000s      0.421w    703 calls
JK: D                               :      0.000u      0.000s      0.016w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.040w    703 calls
JK: JK                              :      0.000u      0.000s      0.301w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.295w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.085w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.171w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.028w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.602w    623 calls
HF: Form C                          :      0.000u      0.000s      0.897w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.925w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.637w     80 calls
DFH: initialize()                   :      0.000u      0.000s      4.328w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.467w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.550w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.114w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.542w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.039w     80 calls
HF: Guess                           :      0.000u      0.000s      8.305w     80 calls
| SAD Guess                         :      0.000u      0.000s      8.105w     80 calls
HF: Form G                          :      0.000u      0.000s      0.421w    703 calls
| JK: D                             :      0.000u      0.000s      0.016w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.040w    703 calls
| JK: JK                            :      0.000u      0.000s      0.301w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.295w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.085w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.171w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.028w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s      8.602w    623 calls
HF: Form C                          :      0.000u      0.000s      0.897w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:47 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       91.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:47 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       91.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:47 2023
Timers Off: Sun Nov 12 11:12:18 2023

Wall Time:       91.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:10:47 2023
Timers Off: Sun Nov 12 11:12:19 2023

Wall Time:       91.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:29 2023
Timers Off: Sun Nov 12 11:30:24 2023

Wall Time:      115.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
